Daniel	M	24720	1976
Jennifer	F	58964	1977
Melissa	F	26886	1977
Amy	F	26732	1977
Jessica	F	24843	1977
Heather	F	23777	1977
Angela	F	20996	1977
Michelle	F	19539	1977
Kimberly	F	18286	1977
Amanda	F	18280	1977
Kelly	F	18235	1977
Michael	M	67616	1977
Jason	M	55653	1977
Christopher	M	46749	1977
David	M	40543	1977
James	M	40054	1977
John	M	34227	1977
Robert	M	34217	1977
Brian	M	32502	1977
Matthew	M	31973	1977
Joseph	M	26493	1977
Jennifer	F	56321	1978
Melissa	F	28330	1978
Jessica	F	26102	1978
Amy	F	23212	1978
Heather	F	22271	1978
Amanda	F	20517	1978
Angela	F	20511	1978
Sarah	F	19977	1978
Michelle	F	18860	1978
Nicole	F	17276	1978
Michael	M	67158	1978
Jason	M	51629	1978
Christopher	M	47259	1978
David	M	40704	1978
James	M	39915	1978
Matthew	M	34310	1978
John	M	34037	1978
Robert	M	33396	1978
Brian	M	29451	1978
Joseph	M	26671	1978
Jennifer	F	56717	1979
Melissa	F	34052	1979
Amanda	F	31928	1979
Jessica	F	27776	1979
Amy	F	21615	1979
Sarah	F	21018	1979
Heather	F	20839	1979
Angela	F	20256	1979
Nicole	F	19511	1979
Michelle	F	19269	1979
Michael	M	67739	1979
Christopher	M	50677	1979
Jason	M	50408	1979
David	M	42078	1979
James	M	39371	1979
Matthew	M	35657	1979
John	M	35434	1979
Robert	M	34026	1979
Joshua	M	31137	1979
Brian	M	28670	1979
Jennifer	F	58375	1980
Amanda	F	35821	1980
Jessica	F	33921	1980
Melissa	F	31636	1980
Sarah	F	25755	1980
Heather	F	19975	1980
Nicole	F	19920	1980
Amy	F	19835	1980
Elizabeth	F	19528	1980
Michelle	F	19123	1980
Michael	M	68696	1980
Christopher	M	49092	1980
Jason	M	48171	1980
David	M	41925	1980
James	M	39325	1980
Matthew	M	37855	1980
Joshua	M	36060	1980
John	M	35279	1980
Robert	M	34280	1980
Joseph	M	30203	1980
Jennifer	F	57049	1981
Jessica	F	42533	1981
Amanda	F	34373	1981
Sarah	F	28173	1981
Melissa	F	28000	1981
Amy	F	20343	1981
Nicole	F	20312	1981
Stephanie	F	20209	1981
Elizabeth	F	20173	1981
Heather	F	17947	1981
Michael	M	68763	1981
Christopher	M	50235	1981
Matthew	M	43333	1981
Jason	M	41931	1981
David	M	40668	1981
Joshua	M	39054	1981
James	M	38313	1981
John	M	34887	1981
Robert	M	34406	1981
Daniel	M	30994	1981
Jennifer	F	57117	1982
Jessica	F	45451	1982
Amanda	F	34214	1982
Sarah	F	28484	1982
Melissa	F	25867	1982
Nicole	F	21707	1982
Stephanie	F	20857	1982
Elizabeth	F	20514	1982
Crystal	F	19104	1982
Amy	F	18803	1982
Michael	M	68235	1982
Christopher	M	59231	1982
Matthew	M	46066	1982
Jason	M	40632	1982
David	M	40459	1982
James	M	38875	1982
Joshua	M	38028	1982
John	M	34705	1982
Robert	M	34425	1982
Daniel	M	32653	1982
Jennifer	F	54346	1983
Jessica	F	45282	1983
Amanda	F	33754	1983
Ashley	F	33293	1983
Sarah	F	27229	1983
Melissa	F	23473	1983
Nicole	F	22399	1983
Stephanie	F	22330	1983
Heather	F	20746	1983
Elizabeth	F	19842	1983
Michael	M	68000	1983
Christopher	M	59349	1983
Matthew	M	50217	1983
David	M	39199	1983
Joshua	M	36707	1983
James	M	36354	1983
Jason	M	35115	1983
Daniel	M	34750	1983
John	M	33153	1983
Robert	M	32746	1983
Jennifer	F	50559	1984
Jessica	F	45855	1984
Ashley	F	38772	1984
Amanda	F	33908	1984
Sarah	F	25884	1984
Stephanie	F	23021	1984
Nicole	F	22265	1984
Melissa	F	21891	1984
Heather	F	21492	1984
Elizabeth	F	20364	1984
Michael	M	67741	1984
Christopher	M	60029	1984
Matthew	M	49776	1984
Joshua	M	40262	1984
David	M	38486	1984
Daniel	M	36533	1984
James	M	35857	1984
John	M	32617	1984
Robert	M	31773	1984
Joseph	M	30515	1984
Jessica	F	48347	1985
Ashley	F	47007	1985
Jennifer	F	42651	1985
Amanda	F	39052	1985
Sarah	F	24882	1985
Stephanie	F	23239	1985
Nicole	F	22967	1985
Heather	F	21153	1985
Elizabeth	F	20541	1985
Megan	F	20013	1985
Michael	M	64912	1985
Christopher	M	59609	1985
Matthew	M	47079	1985
Joshua	M	42195	1985
Daniel	M	38542	1985
David	M	38521	1985
James	M	35861	1985
Robert	M	32090	1985
John	M	31500	1985
Joseph	M	30212	1985
Jessica	F	52677	1986
Ashley	F	49676	1986
Amanda	F	40529	1986
Jennifer	F	36185	1986
Sarah	F	28155	1986
Stephanie	F	22647	1986
Nicole	F	21285	1986
Brittany	F	20311	1986
Heather	F	19792	1986
Elizabeth	F	19072	1986
Michael	M	64208	1986
Christopher	M	56691	1986
Matthew	M	46925	1986
Joshua	M	37542	1986
David	M	37147	1986
Daniel	M	36574	1986
James	M	34040	1986
Andrew	M	33856	1986
Robert	M	31349	1986
John	M	30207	1986
Jessica	F	55994	1987
Ashley	F	54854	1987
Amanda	F	41786	1987
Jennifer	F	32703	1987
Sarah	F	27890	1987
Stephanie	F	22398	1987
Brittany	F	22231	1987
Nicole	F	20286	1987
Heather	F	18979	1987
Elizabeth	F	18607	1987
Michael	M	63655	1987
Christopher	M	54493	1987
Matthew	M	46481	1987
Joshua	M	40000	1987
David	M	36786	1987
Andrew	M	36206	1987
Daniel	M	35865	1987
James	M	32643	1987
Justin	M	31492	1987
Robert	M	30229	1987
Jessica	F	51543	1988
Ashley	F	49963	1988
Amanda	F	39457	1988
Sarah	F	28368	1988
Jennifer	F	27889	1988
Brittany	F	26815	1988
Stephanie	F	22838	1988
Samantha	F	20699	1988
Nicole	F	20311	1988
Elizabeth	F	20038	1988
Michael	M	64143	1988
Christopher	M	52997	1988
Matthew	M	45870	1988
Joshua	M	42651	1988
Andrew	M	35741	1988
David	M	35314	1988
Justin	M	35042	1988
Daniel	M	34700	1988
James	M	32510	1988
Robert	M	30317	1988
Jessica	F	47884	1989
Ashley	F	47589	1989
Brittany	F	37788	1989
Amanda	F	36827	1989
Sarah	F	27793	1989
Samantha	F	24792	1989
Jennifer	F	23997	1989
Stephanie	F	22768	1989
Lauren	F	21063	1989
Elizabeth	F	20295	1989
Michael	M	65389	1989
Christopher	M	53178	1989
Matthew	M	45374	1989
Joshua	M	44091	1989
David	M	35218	1989
Daniel	M	35001	1989
Andrew	M	34811	1989
Justin	M	32843	1989
James	M	32703	1989
Robert	M	30065	1989
Jessica	F	46475	1990
Ashley	F	45560	1990
Brittany	F	36537	1990
Amanda	F	34408	1990
Samantha	F	25867	1990
Sarah	F	25817	1990
Stephanie	F	24860	1990
Jennifer	F	22228	1990
Elizabeth	F	20744	1990
Lauren	F	20506	1990
Michael	M	65290	1990
Christopher	M	52336	1990
Matthew	M	44804	1990
Joshua	M	43219	1990
Daniel	M	33818	1990
David	M	33743	1990
Andrew	M	33657	1990
James	M	32349	1990
Justin	M	30641	1990
Joseph	M	30128	1990
Ashley	F	43478	1991
Jessica	F	43398	1991
Brittany	F	29089	1991
Amanda	F	28893	1991
Samantha	F	25645	1991
Sarah	F	25225	1991
Stephanie	F	22774	1991
Jennifer	F	20673	1991
Elizabeth	F	20392	1991
Emily	F	20308	1991
Michael	M	60785	1991
Christopher	M	47104	1991
Matthew	M	41640	1991
Joshua	M	41218	1991
Andrew	M	31532	1991
Daniel	M	30917	1991
James	M	30507	1991
David	M	30414	1991
Joseph	M	29834	1991
John	M	27800	1991
Ashley	F	38453	1992
Jessica	F	38356	1992
Amanda	F	25033	1992
Brittany	F	24977	1992
Sarah	F	24635	1992
Samantha	F	24409	1992
Emily	F	21832	1992
Stephanie	F	19672	1992
Elizabeth	F	19032	1992
Megan	F	17842	1992
Michael	M	54392	1992
Christopher	M	42460	1992
Matthew	M	37734	1992
Joshua	M	36215	1992
Andrew	M	30535	1992
Brandon	M	29622	1992
Daniel	M	29148	1992
Tyler	M	28794	1992
James	M	28503	1992
David	M	28411	1992
Jessica	F	34987	1993
Ashley	F	34850	1993
Sarah	F	24252	1993
Samantha	F	23668	1993
Emily	F	23595	1993
Brittany	F	21724	1993
Taylor	F	21267	1993
Amanda	F	20811	1993
Elizabeth	F	17557	1993
Stephanie	F	17183	1993
Michael	M	49549	1993
Christopher	M	38227	1993
Matthew	M	35770	1993
Joshua	M	33581	1993
Tyler	M	29796	1993
Brandon	M	28731	1993
Daniel	M	28685	1993
Nicholas	M	28107	1993
Jacob	M	27484	1993
Andrew	M	27319	1993
Jessica	F	32117	1994
Ashley	F	30278	1994
Emily	F	24149	1994
Samantha	F	22820	1994
Sarah	F	22291	1994
Taylor	F	20733	1994
Brittany	F	18901	1994
Amanda	F	18718	1994
Elizabeth	F	16782	1994
Megan	F	16580	1994
Michael	M	44469	1994
Christopher	M	34800	1994
Matthew	M	33648	1994
Joshua	M	31372	1994
Tyler	M	30477	1994
Brandon	M	29487	1994
Jacob	M	29412	1994
Daniel	M	28060	1994
Nicholas	M	27762	1994
Andrew	M	26009	1994
Jessica	F	27938	1995
Ashley	F	26602	1995
Emily	F	24380	1995
Samantha	F	21644	1995
Sarah	F	21383	1995
Taylor	F	20425	1995
Hannah	F	17010	1995
Brittany	F	16476	1995
Amanda	F	16351	1995
Elizabeth	F	16185	1995
Michael	M	41402	1995
Matthew	M	32875	1995
Christopher	M	32674	1995
Jacob	M	31129	1995
Joshua	M	30718	1995
